FORKS,TIME
1,17.74595696805045
2,9.290743306977674
3,6.152422578888945
4,4.639555564033799
5,3.890897889039479
6,3.0278484909795225
7,3.74524478695821
8,3.6458497159183025
9,20.127281846944243
10,14.813438197015785
11,6.612588484073058
12,5.574576074955985
13,3.780327043030411
14,3.377922371029854
15,3.1341864890418947
16,3.1822938370751217
17,2.8886818930041045
18,9.854678782983683
19,3.768102125963196
20,5.499709302093834
21,3.6635056199738756
22,3.1149185260292143
23,2.754655625903979
24,2.8880072829779238
25,3.047199102002196
26,2.916231625014916
27,7.375015173922293
28,6.715712887002155
29,4.39295280398801
30,3.7779650239972398
31,3.0692645609378815
32,3.168427043943666
33,3.1610419619828463
34,3.1347456120420247
35,6.196551091969013
36,5.5870134780416265
37,4.815607125987299
38,4.220185293001123
39,5.562949339975603
40,3.74577663699165
41,3.328023162088357
42,3.8440508160274476
43,3.5303712650202215
44,3.3505582259967923
45,3.3879093539435416
46,3.565461713937111
47,5.083891925984062
48,3.404340364970267
49,3.7582180720055476
50,4.550049089011736
51,3.4512336490442976
52,3.4395798180485144
53,0.38586053100880235
54,3.436270972015336
55,3.455158227006905
56,3.512104193912819
57,3.4918216419173405
58,0.5748634790070355
59,3.9127419989090413
60,3.4781682200264186
61,0.5528280599974096
62,3.762357225990854
63,3.530275524011813
64,3.5422383589902893
65,3.55742605694104
66,3.5268693449907005
67,4.386008062050678
68,3.6797767960233614
69,3.8817676979815587
70,3.5421714110998437
71,3.190848240046762
72,3.5488016030285507
73,3.5406035779742524
74,3.2513150050072
75,4.491674381075427
76,1.375614088959992
77,4.153049111017026
78,3.5535067609744146
79,3.625514884945005
80,4.3101929309777915
81,3.5529479059623554
82,3.772684250958264
83,3.6664776290999725
84,3.676781318965368
85,0.3896158479619771
86,1.4144037179648876
87,4.0539551130495965
88,4.1009404610376805
89,4.452988656004891
90,1.6738429580582306
