FORKS        TIME
1            34.505171492000045
2            27.049356857999555
3            24.768050864999168
4            23.06653953299974
5            22.306170879000092
6            21.360238856999786
7            22.458615292000104
8            21.593088966000323
9            21.31699119700079
10           21.11671946000024
11           20.490154633999737
12           20.75072404399998
13           21.78237291700043
14           21.91877856500014
15           21.78367314800016
16           21.769208196999898
17           21.121601361999637
18           20.803511592999712
19           22.28448667399971
20           21.41487598799995
21           20.725466454000525
22           21.586444917000335
23           22.069272392999665
24           20.74090278499989
25           20.673405919999823
26           21.350787903999844
27           21.380127660000653
28           21.006212266000148
29           21.031461839000258
30           21.72873076400083
31           21.490549230000397
32           22.055497282999568
33           21.3125673200002
34           21.01673654700062
35           20.746685404000345
36           20.89875871700042
37           20.371824113000002
38           21.308965379000256
39           21.148939878999954
40           21.309059186000013
41           21.01012202400034
42           21.635046366000097
43           21.664844496000114
44           21.56448262900085
45           21.798571254999842
46           21.84890297199945
47           21.910959488000117
48           20.85534162499971
49           20.931276999000147
50           21.31950087000041
51           20.997410470000432
52           20.731559455000024
53           21.068257560999882
54           20.812939331000052
55           21.068705048000083
56           20.732876111999758
57           21.357991889000004
58           21.51303934600037
59           21.892463164999754
60           20.741385330999947
61           21.275187954000103
62           21.319860897999206
63           20.67843188400002
64           20.72637309699985
65           21.04310327500025
66           20.516265199999907
67           20.695056775000012
68           23.52356170800067
69           21.00587584599998
70           21.023719296999843
71           21.386409447000005
72           21.05022174899932
73           20.904234008000458
74           20.9725791030005
75           21.232492699999966
76           21.035165188000065
77           20.923852085999897
78           20.98996286000056
79           21.13846860600006
80           20.640798198000084
81           21.441419054999642
82           21.620409485999517
83           21.178548751000562
84           21.04845309099983
85           21.042046131999996
86           21.669035846999577
87           21.196159262000037
88           20.93273477099956
89           20.831499869000254
90           20.948140825000337
91           21.343725575999997
92           21.701642277000246
93           20.988732300000265
94           21.53260404499997
95           21.039467893999245
96           20.552542569000252
   
