FORKS,TIME
1,9.21281260100659
2,4.63911377300974
3,3.109084350988269
4,2.347836435015779
5,2.607251228997484
6,2.5415789280086756
7,2.4676996790221892
8,2.3534113990026526
9,2.391762248997111
10,2.405239563959185
11,2.3927999339648522
12,2.3703672219999135
13,2.373422088974621
14,2.3847449109889567
15,2.380611572996713
16,2.3803441919735633
17,2.373146625002846
18,2.400713330018334
19,2.3819398949854076
20,2.3735009010415524
21,2.3941244180314243
22,2.3866651660064235
23,2.37891089200275
24,2.391576146997977
25,2.3882268700399436
26,2.3924381579854526
27,2.39629075297853
28,2.3923657659906894
29,2.4068108210340142
30,2.4001539620221592
31,2.4266712539829314
32,2.4370943409739994
33,2.4128401660127565
34,2.41642340895487
35,2.422037470038049
36,2.4101065510185435
37,2.4262163970270194
38,2.4244515729951672
39,2.421000623027794
40,2.427079717977904
41,2.4299345730105415
42,2.4372114239959046
43,2.4290861249901354
44,2.4317923019989394
45,2.4405432649655268
46,2.4347441399586387
47,2.4363499030005187
48,2.4417049449984916
49,2.4315294949919917
50,2.4424069490050897
51,2.4444864130346105
52,2.4538674220093526
53,2.4759863820509054
54,2.4482496220152825
55,2.4637877580244094
56,2.460155463020783
57,2.4625012800097466
58,2.4729713709675707
59,2.4670589059824124
60,2.466016139020212
61,2.475264137960039
62,2.4750267639756203
63,2.476898881024681
64,2.48114617401734
65,2.4846657459856942
66,2.472093786986079
67,2.4938890550401993
68,2.4929599620518275
69,2.491369488008786
70,2.4888606130261905
71,2.4993683719658293
72,2.4907610429800116
73,2.497847882041242
74,2.5070212080026977
75,2.5524148979457095
76,2.617124021984637
77,2.586032018996775
78,2.5923361320164986
79,2.6264649799559265
80,2.6247291609761305
81,2.515026315988507
82,2.525127711996902
83,2.5627904889988713
84,2.6142396249924786
85,2.5163019920000806
86,2.545609482040163
87,2.6122970819706097
88,2.527140400954522
89,2.5347796140122227
90,2.5252985570114106
