FORKS,TIME
1,239.355099797016
2,119.59032877197023
3,79.86165083997184
4,60.14170621504309
5,60.76101702899905
6,61.376453049015254
7,60.51293817401165
8,59.93445464497199
9,60.32334794802591
10,64.63665819703601
11,60.216062998981215
12,60.20824113802519
13,60.23236776399426
14,60.28336831799243
15,60.28748578100931
16,60.32647784502478
17,60.20409804303199
18,60.54804455296835
19,60.400697349978145
20,60.4096051150118
21,60.385648315015715
22,60.53599230700638
23,60.36482347402489
24,60.731232324033044
25,61.25439010700211
26,62.397378136985935
27,63.34142890898511
28,63.83858671900816
29,64.18930187600199
30,64.1382327870233
31,64.56133068702184
32,64.9314551440184
33,64.67273817799287
34,65.29510891699465
35,65.41372113797115
36,65.49808510096045
37,65.78886043501552
38,65.78296591097023
39,66.03822389204288
40,65.96575828798814
41,65.91401984996628
42,66.29929926397745
43,66.04823215899523
44,66.2838273899979
45,66.65699359599967
46,66.55630655598361
47,66.98506909899879
48,66.87224529497325
49,66.3096243100008
50,67.01182593300473
51,66.99311413994292
52,66.94065222097561
53,66.92940939898835
54,67.27340737095801
55,66.51571780600352
56,67.8105653449893
57,67.109185334004
58,67.60489770100685
59,67.32425504003186
60,67.78305183799239
61,67.38673819199903
62,67.73638658702839
63,67.5125403169659
64,67.12830527400365
65,68.28751184500288
66,67.34473628801061
67,67.75022926100064
68,67.94985715899384
69,68.25304626999423
70,68.03622237499803
71,67.62728545803111
72,68.23866323800758
73,67.9789455109858
74,67.39217700395966
75,68.34983468201244
76,67.89002989599248
77,67.9206491530058
78,68.86313907097792
79,67.89256487303646
80,67.70474183699116
81,68.10160081199137
82,68.49891916499473
83,68.29530228895601
84,68.10474582295865
85,68.49674596398836
86,68.45930004195543
87,68.41616934200283
88,67.80684002698399
89,68.44388264999725
90,68.39658485597465
