FORKS,TIME
1,0.023888828931376338
2,0.011393285007216036
3,0.012804628000594676
4,0.012350611039437354
5,0.01311064197216183
6,0.013485227944329381
7,0.013486644020304084
8,0.014268719009123743
9,0.01395851990673691
10,0.014932819060049951
11,0.01524606195744127
12,0.01559282501693815
13,0.015705095953308046
14,0.015404253965243697
15,0.015951589099131525
16,0.015954212052747607
17,0.017022616928443313
18,0.016730451956391335
19,0.01757165603339672
20,0.016769679030403495
21,0.017319301958195865
22,0.018020382965914905
23,0.018570041051134467
24,0.018750309944152832
25,0.01915651699528098
26,0.01929571107029915
27,0.22337112005334347
28,0.21544357808306813
29,0.21532627393025905
30,0.2157965749502182
31,0.2147156639257446
32,0.21627634891774505
33,0.21672581497114152
34,0.21729369089007378
35,0.2179131240118295
36,0.21567011892329901
37,0.21650595404207706
38,0.21598575601819903
39,0.21969880210235715
40,0.21653972298372537
41,0.21981967601459473
42,0.21708078391384333
43,0.21784092497546226
44,0.21594355895649642
45,0.21998670196626335
46,0.21985042199958116
47,0.22095509606879205
48,0.21751905302517116
49,0.12953092798125
50,0.3071164769353345
51,0.2226615990512073
52,0.22200244094710797
53,0.22128260508179665
54,0.2251184000633657
55,0.2235030650626868
56,0.2240675570210442
57,0.2213013790315017
58,0.2230468780035153
59,0.22473051701672375
60,0.22063963999971747
61,0.22329972707666457
62,0.2224519730079919
63,0.22432240191847086
64,0.22402283700648695
65,0.22367944405414164
66,0.22694135701749474
67,0.22293544095009565
68,0.22528076998423785
69,0.2255169739946723
70,0.22617244604043663
71,0.22608142299577594
72,0.13391887699253857
73,0.3260661889798939
74,0.22686586901545525
75,0.2273318829247728
76,0.2264940079767257
77,0.12084852799307555
78,0.1853532949462533
79,0.2996167129604146
80,0.44856050005182624
81,0.22712974390015006
82,0.22818330500740558
83,0.22992086596786976
84,0.23091692698653787
85,0.22971952403895557
86,0.2263831429881975
87,0.2087563609238714
88,0.28673043800517917
89,0.1317435570526868
90,0.2349812750471756
FORKS,TIME
1,0.011491182958707213
2,0.012991177965886891
3,0.014308170997537673
4,0.016092527890577912
5,0.015809660078957677
6,0.01389253803063184
7,0.012349903001450002
8,0.013501727022230625
9,0.012920917943120003
10,0.012583044008351862
11,0.012957785045728087
12,0.01377992203924805
13,0.01380956603679806
14,0.015090233995579183
15,0.01450338400900364
16,0.014704021974466741
17,0.01484572293702513
18,0.015851252945140004
19,0.01526857097633183
20,0.015629554982297122
21,0.014967320952564478
22,0.01588745997287333
23,0.01594638009555638
24,0.015809739008545876
25,0.016638581990264356
26,0.016779980971477926
27,0.21684402297250926
28,0.2187033430673182
29,0.2174119190312922
30,0.21827548102010041
31,0.21840659505687654
32,0.21494085004087538
33,0.21632583404425532
34,0.2202178279403597
35,0.21788031898904592
36,0.21700112300459296
37,0.21729675901588053
38,0.2186431959271431
39,0.21745813195593655
40,0.2188759580021724
41,0.21820076298899949
42,0.21785816608462483
43,0.2174930820474401
44,0.21875482995528728
45,0.21867954300250858
46,0.21686548297293484
47,0.2174986220197752
48,0.2216698219999671
49,0.21877202193718404
50,0.22304860700387508
51,0.2202798939542845
52,0.22118327300995588
53,0.21971497999038547
54,0.22271010605618358
55,0.2238487710710615
56,0.22272838396020234
57,0.22288342798128724
58,0.42501346103381366
59,0.22477355506271124
60,0.22374705807305872
61,0.2252077569719404
62,0.22210447897668928
63,0.22460143803618848
64,0.2214858359657228
65,0.22386454499792308
66,0.2231984380632639
67,0.224490731023252
68,0.22591623989865184
69,0.22764991503208876
70,0.15575896797236055
71,0.13340245094150305
72,0.32228721398860216
73,0.22754812007769942
74,0.227989093051292
75,0.2289628549478948
76,0.22695356397889555
77,0.4321357299340889
78,0.2282266200054437
79,0.22791142703499645
80,0.22878556698560715
81,0.2285247320542112
82,0.22694601002149284
83,0.46186101099010557
84,0.11814374604728073
85,0.34297527407761663
86,0.22892019501887262
87,0.15952131000813097
88,0.368184449034743
89,0.12420165701769292
90,0.5082809911109507
