FORKS,TIME
1,0.05373176606371999
2,0.09886833699420094
3,0.03440301096998155
4,0.03165296302177012
5,0.058502168976701796
6,0.03384812595322728
7,0.05927057203371078
8,0.03482366097159684
9,0.1588299999712035
10,0.18158107693307102
11,0.03271668800152838
12,0.15148122399114072
13,0.14157891692593694
14,0.14655829197727144
15,0.13079180498607457
16,0.1373552429722622
17,0.17355253698769957
18,0.06112961296457797
19,0.03353037289343774
20,0.03642083506565541
21,0.06137969600968063
22,0.03528923005796969
23,0.035758123034611344
24,0.17494696797803044
25,0.1982034289976582
26,0.03509585908614099
27,0.15270739002153277
28,0.1937950550345704
29,0.19981786306016147
30,0.02855845505837351
31,0.1175687659997493
32,0.03602726699318737
33,0.14065340801607817
34,0.20686614501755685
35,0.16290333506185561
36,0.039743306930176914
37,0.062193366000428796
38,0.3036110659595579
39,0.1631023270310834
40,0.038319261046126485
41,0.04166658699978143
42,0.2462958040414378
43,0.038670031004585326
44,0.22957867803052068
45,0.22386148991063237
46,0.041051010019145906
47,0.2136792599922046
48,0.0396045979578048
49,0.2146707660285756
50,0.1757996289525181
51,0.039982451940886676
52,0.039383182069286704
53,0.14353482401929796
54,0.26644086104352027
55,0.16042554599698633
56,0.09947009710595012
57,0.30516043899115175
58,0.28538090107031167
59,0.1833305839681998
60,0.12031301902607083
61,0.1934003510978073
62,0.2477897269418463
63,0.24596296809613705
64,0.18883697700221092
65,0.16499854903668165
66,0.04257031495217234
67,0.09917151695117354
68,0.17527854000218213
69,0.1637835290748626
70,0.14964490698184818
71,0.107807905995287
72,0.09060009499080479
73,0.24806397198699415
74,0.15861056605353951
75,0.044765731086954474
76,0.1597377130528912
77,0.20916796498931944
78,0.04596080898772925
79,0.10238123999442905
80,0.20154037699103355
81,0.04705718206241727
82,0.05050156300421804
83,0.09599358402192593
84,0.15285072207916528
85,0.3493533169385046
86,0.21296915400307626
87,0.2817779849283397
88,0.22376276506111026
89,0.25963496894109994
90,0.14090269897133112
