FORKS,TIME
1,17.864510593935847
2,9.848895048024133
3,6.1746990230167285
4,4.62487728393171
5,3.828656067023985
6,3.188248487072997
7,3.42451300797984
8,3.5424445300595835
9,19.72892935096752
10,5.321443572989665
11,9.119655831949785
12,5.1391593490261585
13,4.121257230988704
14,3.4296451919944957
15,3.1019200270529836
16,2.9944174360716715
17,2.905027696979232
18,8.69221220491454
19,3.8790977260796353
20,4.394223824958317
21,3.3680219100788236
22,3.132202021079138
23,2.7793160850415006
24,2.840658243978396
25,2.885034281993285
26,2.9088646250311285
27,6.460163319949061
28,6.861370995058678
29,4.1499516039621085
30,4.098811057046987
31,3.2934807980200276
32,3.175772357964888
33,3.1201680790400133
34,3.1744996099732816
35,3.152059528976679
36,5.720940669998527
37,4.578185289981775
38,3.8176983919693157
39,5.302654420956969
40,3.489540511975065
41,3.2933688160264865
42,3.554435326019302
43,3.410378685919568
44,3.3877431709552184
45,3.3402009319979697
46,5.367463550996035
47,0.4549808430019766
48,3.583590096095577
49,3.411705621983856
50,3.4481578109553084
51,3.4151780399261042
52,3.4749848761130124
53,5.068201142014004
54,3.6290020539890975
55,3.471203919965774
56,3.45125750801526
57,3.6803842739900574
58,3.8044881130335853
59,3.853206759900786
60,4.882851692964323
61,4.85844643402379
62,4.599530703970231
63,3.662763638072647
64,3.510318752960302
65,3.546305426978506
66,3.5153739660745487
67,4.494706824072637
68,3.9592501940205693
69,3.532215003040619
70,3.6290104991057888
71,3.534520279034041
72,3.5300289050210267
73,3.54621738800779
74,4.585649051005021
75,4.336750571033917
76,3.5984061129856855
77,3.6011541800107807
78,3.6070877769961953
79,3.554394041071646
80,3.6347389140864834
81,3.758703227969818
82,3.5665957629680634
83,3.262811569031328
84,4.124655483989045
85,3.6226513140136376
86,3.877781559014693
87,0.34967068303376436
88,3.712972173001617
89,3.6644503390416503
90,3.6858933679759502
